enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,startyear,label,active,final_enddate
128951,84,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129070,107,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
144004,5218,416,12,2020-09-01,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128924,5238,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128741,5272,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128931,5352,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129013,5499,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128703,5530,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129026,5592,416,12,2020-09-02,2021-06-24,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-24
128763,5734,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131461,5810,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128954,5828,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128795,6250,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128581,6259,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133856,6419,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
142672,6503,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128811,6544,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128997,6686,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128632,6882,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129030,7185,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129037,7261,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129043,7389,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129044,7465,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129054,7527,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129062,7663,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128719,7666,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128926,11164,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128542,12112,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131468,12118,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131528,12146,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129048,12538,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128920,12689,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128922,12710,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128923,12725,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128927,12804,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128928,12812,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128745,12820,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128942,12993,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128935,13810,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128940,13811,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128969,13875,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128974,13878,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128985,13889,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129007,14000,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128948,14005,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128562,14040,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128955,14052,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128872,14080,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129036,14094,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128882,14096,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128972,14130,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128973,14138,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131481,14181,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129068,14218,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129071,14224,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
