enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,city_x,startyear,label,active,final_enddate,city_y
128951,84,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129070,107,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
144004,5218,416,12,2020-09-01,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128924,5238,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128741,5272,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128931,5352,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129013,5499,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128703,5530,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129026,5592,416,12,2020-09-02,2021-06-24,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-24,New Haven
128763,5734,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
131461,5810,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128954,5828,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128795,6250,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128581,6259,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
133856,6419,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
142672,6503,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128811,6544,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128997,6686,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128632,6882,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129030,7185,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129037,7261,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129043,7389,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129044,7465,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129054,7527,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
129062,7663,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128719,7666,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128926,11164,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
128542,12112,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
131468,12118,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
131528,12146,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,New Haven,2020,20-21,1,2021-06-25,New Haven
